slug,status,canonical
a-arrow-down,canonical,a-arrow-down
a-arrow-up,canonical,a-arrow-up
a-large-small,canonical,a-large-small
accessibility,canonical,accessibility
activity-square,deprecated,square-activity
activity,canonical,activity
ad,canonical,ad
air-vent,canonical,air-vent
airplay,canonical,airplay
alarm-check,deprecated,alarm-clock-check
alarm-clock-check,canonical,alarm-clock-check
alarm-clock-minus,canonical,alarm-clock-minus
alarm-clock-off,canonical,alarm-clock-off
alarm-clock-plus,canonical,alarm-clock-plus
alarm-clock,canonical,alarm-clock
alarm-minus,deprecated,alarm-clock-minus
alarm-plus,deprecated,alarm-clock-plus
alarm-smoke,canonical,alarm-smoke
album,canonical,album
alert-circle,deprecated,circle-alert
alert-octagon,deprecated,octagon-alert
alert-triangle,deprecated,triangle-alert
align-center-horizontal,canonical,align-center-horizontal
align-center-vertical,canonical,align-center-vertical
align-center,deprecated,text-align-center
align-end-horizontal,canonical,align-end-horizontal
align-end-vertical,canonical,align-end-vertical
align-horizontal-distribute-center,canonical,align-horizontal-distribute-center
align-horizontal-distribute-end,canonical,align-horizontal-distribute-end
align-horizontal-distribute-start,canonical,align-horizontal-distribute-start
align-horizontal-justify-center,canonical,align-horizontal-justify-center
align-horizontal-justify-end,canonical,align-horizontal-justify-end
align-horizontal-justify-start,canonical,align-horizontal-justify-start
align-horizontal-space-around,canonical,align-horizontal-space-around
align-horizontal-space-between,canonical,align-horizontal-space-between
align-justify,deprecated,text-align-justify
align-left,deprecated,text-align-start
align-right,deprecated,text-align-end
align-start-horizontal,canonical,align-start-horizontal
align-start-vertical,canonical,align-start-vertical
align-vertical-distribute-center,canonical,align-vertical-distribute-center
align-vertical-distribute-end,canonical,align-vertical-distribute-end
align-vertical-distribute-start,canonical,align-vertical-distribute-start
align-vertical-justify-center,canonical,align-vertical-justify-center
align-vertical-justify-end,canonical,align-vertical-justify-end
align-vertical-justify-start,canonical,align-vertical-justify-start
align-vertical-space-around,canonical,align-vertical-space-around
align-vertical-space-between,canonical,align-vertical-space-between
ambulance,canonical,ambulance
ampersand,canonical,ampersand
ampersands,canonical,ampersands
amphora,canonical,amphora
anchor,canonical,anchor
angle,canonical,angle
angry,deprecated,face-angry
annoyed,deprecated,face-expressionless
antenna,canonical,antenna
anvil,canonical,anvil
aperture,canonical,aperture
app-window-mac,canonical,app-window-mac
app-window,canonical,app-window
apple,canonical,apple
archive-restore,canonical,archive-restore
archive-x,canonical,archive-x
archive,canonical,archive
area-chart,deprecated,chart-area
armchair,canonical,armchair
arrow-big-down-dash,canonical,arrow-big-down-dash
arrow-big-down,canonical,arrow-big-down
arrow-big-left-dash,canonical,arrow-big-left-dash
arrow-big-left,canonical,arrow-big-left
arrow-big-right-dash,canonical,arrow-big-right-dash
arrow-big-right,canonical,arrow-big-right
arrow-big-up-dash,canonical,arrow-big-up-dash
arrow-big-up,canonical,arrow-big-up
arrow-down-0-1,canonical,arrow-down-0-1
arrow-down-01,deprecated,arrow-down-0-1
arrow-down-1-0,canonical,arrow-down-1-0
arrow-down-10,deprecated,arrow-down-1-0
arrow-down-a-z,canonical,arrow-down-a-z
arrow-down-az,deprecated,arrow-down-a-z
